Generated points:
Time elapsed: 8.324839ms
(46.33292664854283, 2.7038218331436807, 998.9223940105035)
(-59.37351606288737, 51.40130332966402, 996.9115766236954)
(10.327090298692044, -94.8010873003145, 995.4426678883325)
(68.80024606616327, 96.39356880650678, 992.962640804769)
(-136.62280179355864, -20.91660339499723, 990.402294894602)
(126.2591006748095, -82.75745321556285, 988.5392472906992)
(-40.39743283076295, 155.46816149490948, 987.0145379790903)
(-74.86624500404561, -156.0610296767932, 984.9060870840493)
(169.4425033487894, 66.5320403511489, 983.2917805339414)
(-181.4171328829267, 72.38576336593407, 980.7385610642979)
(90.59207918253026, -188.64684622926035, 977.8575778696711)
(60.5560828813319, 205.61728142189514, 976.7571317409145)
(-188.9473587927294, -112.24371758561131, 975.55125107183)
(225.40652402243188, -45.91750838049723, 973.1821419201299)
(-132.8749092673246, 199.32921069820097, 970.8821371565306)
(-30.174355108994437, -247.53997855429105, 968.4076968462701)
(197.93662303969543, 167.60660866572243, 965.7790213041579)
(-262.4434493107983, 15.709938638086122, 964.8194824638638)
(196.2058637424877, -191.1236611437894, 961.7562088097266)
(-13.250620415832552, 276.24926314828065, 960.9946751510267)
(-181.72504627032725, -213.77343959753654, 959.8317165423769)
(284.5895082256789, 37.4052003935521, 957.9194448341597)
(-244.54546379582817, 173.38520963653013, 954.0100026814077)
(65.14659856273188, -292.52436511123994, 954.0363811259884)
(157.79139519846484, 268.89189151251685, 950.1573692184589)
(-298.1986478671209, -100.15065990225045, 949.2351719839318)
(290.89569457083155, -132.9985704000533, 947.4656063159738)
(-128.14216700754292, 304.5279895309979, 943.8444197148275)
(-116.80948820785397, -314.1756744334165, 942.1513620745485)
(302.4026690057388, 159.69686726622763, 939.7071545771897)
(-333.5297347084359, 89.70791680134779, 938.4617231024838)
(186.3917399633528, -293.9915189387476, 937.4577889513328)
(62.75854921577387, 345.2210113812395, 936.4207482757126)
(-285.9018073305917, -223.7479713296401, 931.77089560201)
(363.36058865702677, -33.09098275740043, 931.0607227624675)
(-253.14519594788015, 270.6162106453144, 928.8080406114497)
(5.421785963072171, -376.16863573171315, 926.5353537392474)
(260.86331930576915, 283.886627923182, 922.6910160650646)
(-382.31264124426366, -37.87775115756091, 923.2563675989898)
(306.86612591189623, -239.74233010477212, 921.0628620912682)
(-69.93928245064753, 387.9777400579524, 919.0113002514237)
(-209.34760178686318, -335.60344151002334, 918.4464664163706)
(387.1662869380625, 108.66567152559655, 915.5839874585428)
(-364.38771530914596, 188.0265071824388, 912.0677746355)
(144.53692170346707, -391.55741789627564, 908.7309099809951)
(159.40968430424908, 388.0573154348366, 907.7444973600927)
(-377.8402558362758, -175.77359147873048, 909.0326647641689)
(402.0964098838792, -129.7491384755533, 906.3573457656461)
(-215.18808924949192, 375.39893692607745, 901.5374226286581)
(-89.98611933531338, -423.50610823095263, 901.4128214187125)
(361.81052619571835, 258.1143326537314, 895.8069738580383)
(-438.13404694033494, 54.864782335904714, 897.2337558133434)
(284.7884873776787, -342.3945968747585, 895.3554922421067)
(17.599827512907325, 449.5672120450759, 893.0731033490673)
(-317.2813303005382, -324.2095119085107, 891.1906360766848)
(462.51227267287464, 27.077544576686275, 886.1993027568178)
(-353.29622175690736, 295.14594435522696, 887.7334347781182)
(67.5603922328125, -461.1992632229551, 884.7207655548456)
(264.44075497264345, 385.85495581506433, 883.8478603144622)
(-457.83236861911706, -110.39874311977788, 882.1573781146889)
(413.8687748409144, -239.42221845509445, 878.2879018418286)
(-150.08585748709874, 452.58437386662683, 879.0003526245684)
(-197.2742033218722, -442.07249325006364, 875.0170280716787)
(446.42041720242656, 186.12823669046924, 875.2514442212067)
(-465.9757474461555, 160.19784940147974, 870.1742652130879)
(236.0855820228544, -438.92638091750274, 866.9528419098662)
(127.93650859704786, 483.0285902043065, 866.2076141510404)
(-421.6675036166793, -271.31954919421065, 865.2064601115321)
(499.58289474665963, -81.51815269634015, 862.4220092608515)
(-316.9099841989687, 395.28325149070946, 862.1596215353289)
(-41.131420579698926, -514.8126736112304, 856.3154309776)
(379.28991077214727, 352.92793243042456, 855.3251066681266)
(-522.1729377835923, -0.5758162328393686, 852.8394288974441)
(393.14454838122646, -352.3343015284301, 849.2925903624703)
(-47.35994744622182, 521.7370881014701, 851.7907291566924)
(-317.0941990650448, -424.93959431415277, 847.8665048835348)
(521.7646180133136, 94.44794606836129, 847.8450736265967)
(-457.15107282505204, 283.23617358240404, 843.0837245430031)
(147.71517870685045, -513.3368470173623, 845.3789135493482)
(246.3467622701087, 478.24628030335896, 842.9672402264727)
(-510.618731356671, -195.6713622453715, 837.2462177787036)
(513.1107425421651, -202.74196734336726, 834.0342082706014)
(-239.82275591527602, 494.7775289989573, 835.2725558420365)
(-163.49744119675307, -530.3428123650809, 831.8684319619365)
(479.5836505226011, 285.64211320762956, 829.7036249852687)
(-544.488034048813, 114.56449547096688, 830.9077910064036)
(332.18179833536794, -455.69242593892784, 825.8327105392324)
(62.31570481413642, 559.0439018697122, 826.7930023384362)
(-428.1532711744518, -370.07222020681655, 824.4582028300852)
(569.9657983932981, -14.413580541354525, 821.5419875805911)
(-409.84836288415215, 400.63661003092153, 819.4599600615711)
(34.378119592736, -579.0012716136156, 814.6015420824366)
(364.26758845693183, 453.3460056858519, 813.5026263807971)
(-577.7838717248882, -81.17496391955669, 812.1431048819269)
(480.25645696985515, -328.4183466878438, 813.3235058066286)
(-135.53069415700872, 574.9361055318869, 806.8952258485275)
(-287.076213852275, -514.7057736829385, 807.8769794824523)
(563.9291805689185, 186.84661057821788, 804.407995620568)
(-542.799819375962, 247.890100676219, 802.4455458609992)
(239.54724994123035, -551.7529298067163, 798.8653325156241)
(202.0252345527849, 566.7018327882031, 798.7708290357027)
(-529.5379607954244, -289.35237616866794, 797.411280633883)
(587.1483016121251, -147.53020608654884, 795.9219246924017)
(-337.73056021187625, 514.0780564866734, 788.4553383279593)
(-93.69903216338659, -604.3111492492295, 791.2196447666855)
(484.83795466764747, 377.7122464738454, 788.8381434599709)
(-611.0341877961126, 49.60617840587357, 790.048383586923)
(426.81342087277534, -447.77821290626497, 785.7003091569652)
(-10.783501270965424, 619.9131045337557, 784.5963668840559)
(-414.92651719093885, -467.6235902578687, 780.4896944650444)
(624.340796501778, 62.83110850592804, 778.6211027370384)
(-509.0956888318785, 375.3526662922682, 774.5527454732054)
(119.6724201560424, -624.8210076077238, 771.5421053358425)
(335.1238596971501, 540.7111043857078, 771.5720966025618)
(-613.631613897663, -176.79906556433943, 769.5442370916215)
(572.8076931569476, -287.3630105895672, 767.6677971656205)
(-228.13361201252937, 600.0900838145548, 766.7117752960086)
(-237.1965605321516, -599.8628270976876, 764.1350537294354)
(582.4823102958169, 279.6440181868644, 763.2257734672961)
(-621.0713877253984, 188.54084975892903, 760.738246258875)
